celltype	n_cell	n_ctrl	assoc_mcp	assoc_mcz	hetero_mcp	hetero_mcz	n_fdr_0.05	n_fdr_0.1	n_fdr_0.2	trait	setting	q	discovery	mix_q	mix_discovery
B cell	5629.0	1000.0	0.1008991	1.3076487	0.022977022	2.94926	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.49664622857142854	False
Bergmann glial cell	54.0	1000.0	0.53746253	-0.13260366	0.2937063	0.5959565	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
Brush cell of epithelium proper of large intestine	175.0	1000.0	0.026973028	2.0865898	0.62837166	-0.38530597	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.8970340689655173	False
CD4-positive, alpha-beta T cell	1170.0	1000.0	0.0939061	1.4100665	0.76623374	-0.69349694	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.9210020769230769	False
CD8-positive, alpha-beta T cell	1070.0	1000.0	0.12787212	1.1993122	0.14185815	1.0618986	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8704338782608696	False
DN4 thymocyte	1756.0	1000.0	0.14385614	1.0805163	0.43256745	0.053281467	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
Kupffer cell	262.0	1000.0	0.977023	-1.628874	0.53746253	-0.18207656	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
NK cell	877.0	1000.0	0.1008991	1.3234977	0.63136864	-0.4007688	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8970340689655173	False
T cell	1329.0	1000.0	0.068931065	1.4945763	0.8251748	-0.91190135	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.9295788813559323	False
adventitial cell	289.0	1000.0	0.65134865	-0.48623964	0.43756244	0.16696809	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
aortic endothelial cell	467.0	1000.0	0.98101896	-1.7621452	0.4885115	0.01582594	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
astrocyte	592.0	1000.0	0.23476523	0.6700978	0.05294705	1.8410089	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.5794206	False
atrial myocyte	403.0	1000.0	0.84915084	-0.98140544	0.7242757	-0.66872156	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
basal cell	2139.0	1000.0	0.6453546	-0.4053555	0.7942058	-0.7931579	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
basal cell of epidermis	4214.0	1000.0	0.15484515	0.97224176	0.3096903	0.28588417	0.0	0.0	0.0	melanoma	scDRS	0.7515561230769231	False	0.8874995806451612	False
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.06593407	1.6801946	0.3926074	0.17368889	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
basophil	71.0	1000.0	0.7692308	-0.72660404	0.85114884	-1.0626234	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
bladder cell	1012.0	1000.0	0.46253747	0.035392504	0.7982018	-0.8079218	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.9210020769230769	False
bladder urothelial cell	1420.0	1000.0	0.40859142	0.1581117	0.4145854	0.0043050344	0.0	0.0	0.0	melanoma	scDRS	0.9079809333333333	False	0.8874995806451612	False
brain pericyte	484.0	1000.0	0.978022	-1.6570545	0.8901099	-1.0819682	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
bronchial smooth muscle cell	2117.0	1000.0	0.9210789	-1.2885133	0.5174825	-0.2088368	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
bulge keratinocyte	2604.0	1000.0	0.96303695	-1.6310364	0.45854145	-0.10234717	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
chondrocyte	275.0	1000.0	0.93606395	-1.3346738	0.9100899	-1.1557549	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.27172828	0.5681233	0.04895105	1.7113537	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.5794206	False
classical monocyte	202.0	1000.0	0.22577423	0.74092174	0.35864136	0.36482054	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.8874995806451612	False
club cell of bronchiole	22.0	1000.0	0.8941059	-1.1402897	0.5514485	-0.042118955	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
dendritic cell	62.0	1000.0	0.037962038	2.0494103	0.10889111	1.2439427	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.8704338782608696	False
early pro-B cell	72.0	1000.0	0.2017982	0.7575131	0.9140859	-1.3434626	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.9295788813559323	False
endocardial cell	375.0	1000.0	0.97202796	-1.6576533	0.5024975	-0.030754177	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
endothelial cell	4928.0	1000.0	0.96703297	-1.6585386	0.61338663	-0.42852905	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
endothelial cell of coronary artery	2694.0	1000.0	0.93406594	-1.3515532	0.3866134	0.085071005	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.999001	-2.2332358	0.6813187	-0.493671	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9186319550561798	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.9030969	-1.2931578	0.3986014	0.2808945	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.7732268	-0.78076184	0.24475524	0.611119	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
enteroendocrine cell	161.0	1000.0	0.35964036	0.2738218	0.6433566	-0.42360955	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8970340689655173	False
ependymal cell	55.0	1000.0	0.2847153	0.47587729	0.6433566	-0.43698886	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.8970340689655173	False
epidermal cell	492.0	1000.0	0.027972028	2.2243717	0.02897103	2.0163538	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.49664622857142854	False
epithelial cell	426.0	1000.0	0.7532467	-0.73860735	0.31968033	0.44087356	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
epithelial cell of large intestine	1704.0	1000.0	0.5764236	-0.24256828	0.23576424	0.57134944	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8841159000000001	False
epithelial cell of proximal tubule	393.0	1000.0	0.5334665	-0.13936646	0.012987013	2.5250077	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.47952048	False
epithelial cell of thymus	165.0	1000.0	0.36063936	0.18936683	0.9030969	-1.2624726	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.9295788813559323	False
fenestrated cell	268.0	1000.0	0.93206793	-1.4478836	0.011988012	2.1208973	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.47952048	False
fibroblast	1330.0	1000.0	0.36263737	0.30772993	0.053946055	1.7522261	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.5794206	False
fibroblast of cardiac tissue	3926.0	1000.0	0.53046954	-0.14998044	0.8881119	-0.97495323	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.9295788813559323	False
fibroblast of lung	483.0	1000.0	0.2017982	0.75188565	0.7192807	-0.5790698	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.9210020769230769	False
fibrocyte	44.0	1000.0	0.007992008	2.476287	0.95004994	-1.7733626	0.0	0.0	0.0	melanoma	scDRS	0.31968031999999996	False	0.9580335529411764	False
granulocyte	2966.0	1000.0	0.12687312	0.8698342	0.015984016	2.9239619	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.47952048	False
granulocyte monocyte progenitor cell	250.0	1000.0	0.43256745	-0.065329194	0.7852148	-0.80596197	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.9210020769230769	False
granulocytopoietic cell	483.0	1000.0	0.08791209	1.2968297	0.37462538	0.12532523	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
hematopoietic stem cell	3306.0	1000.0	0.12987013	1.1327089	0.075924076	1.6694468	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.6507777942857143	False
hepatocyte	1162.0	1000.0	0.984016	-1.7762032	0.26073927	0.56151485	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
immature B cell	589.0	1000.0	0.22977023	0.7043188	0.5444555	-0.1252888	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.8970340689655173	False
intermediate monocyte	12.0	1000.0	0.5654346	-0.18643267	0.16083916	1.0230212	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8704338782608696	False
interneuron	240.0	1000.0	0.998002	-2.2970498	0.83016986	-0.89844763	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
intestinal crypt stem cell	1579.0	1000.0	0.8021978	-0.8879978	0.53846157	-0.23270948	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
keratinocyte	1215.0	1000.0	0.27272728	0.54777384	0.18481518	0.8296925	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.879120888888889	False
keratinocyte stem cell	35.0	1000.0	0.16183816	1.0375845	0.05794206	1.551229	0.0	0.0	0.0	melanoma	scDRS	0.7515561230769231	False	0.5794206	False
kidney collecting duct epithelial cell	445.0	1000.0	0.7352647	-0.62637115	0.6003996	-0.31533203	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
kidney collecting duct principal cell	157.0	1000.0	0.46553448	-0.06463326	0.36063936	0.34870967	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.8874995806451612	False
kidney interstitial fibroblast	16.0	1000.0	0.24675325	0.6084917	0.9010989	-1.3049083	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.9295788813559323	False
kidney loop of Henle ascending limb epithelial cell	146.0	1000.0	0.8941059	-1.0791066	0.7152847	-0.58940464	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
large intestine goblet cell	1587.0	1000.0	0.8761239	-1.1076101	0.7832168	-0.82859576	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
late pro-B cell	411.0	1000.0	0.32367632	0.41414097	0.055944055	1.6691978	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.5794206	False
leukocyte	158.0	1000.0	0.035964034	1.9786956	0.13386613	1.1062546	0.0	0.0	0.0	melanoma	scDRS	0.6507777942857143	False	0.8704338782608696	False
luminal epithelial cell of mammary gland	768.0	1000.0	0.7332667	-0.65378773	0.67632365	-0.5966974	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9186319550561798	False
lung macrophage	9.0	1000.0	0.6433566	-0.4556104	0.32767233	0.5880103	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
lung neuroendocrine cell	4.0	1000.0	0.3206793	0.4600689	0.22577423	0.87819594	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8841159000000001	False
lymphocyte	10.0	1000.0	0.16283716	0.9861376	0.19080919	0.8948188	0.0	0.0	0.0	melanoma	scDRS	0.7515561230769231	False	0.879120888888889	False
lymphoid progenitor cell	13.0	1000.0	0.5404595	-0.11939892	0.6023976	-0.2945604	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8970340689655173	False
macrophage	2447.0	1000.0	0.077922076	1.4256556	0.22077923	0.65419036	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8841159000000001	False
mature NK T cell	199.0	1000.0	0.21278721	0.7794072	0.38861138	0.2967629	0.0	0.0	0.0	melanoma	scDRS	0.7979520375	False	0.8874995806451612	False
mature alpha-beta T cell	330.0	1000.0	0.14285715	1.0923141	0.60639364	-0.2700419	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8970340689655173	False
medium spiny neuron	103.0	1000.0	0.951049	-1.597239	0.8221778	-0.94146764	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
megakaryocyte-erythroid progenitor cell	80.0	1000.0	0.54545456	-0.23088399	0.27972028	0.61741954	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
mesangial cell	93.0	1000.0	0.9140859	-1.3088036	0.96103895	-1.8320999	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.96103895	False
mesenchymal stem cell	1429.0	1000.0	0.33866134	0.36102027	0.22177823	0.72094345	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8841159000000001	False
mesenchymal stem cell of adipose	4733.0	1000.0	0.27672327	0.5906961	0.26173827	0.42130455	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.8874995806451612	False
microglial cell	13268.0	1000.0	0.123876125	1.1362153	0.13186814	0.78042364	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8704338782608696	False
monocyte	1281.0	1000.0	0.18081918	0.8503562	0.6033966	-0.32354167	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.8970340689655173	False
mucus secreting cell	73.0	1000.0	0.973027	-1.5176972	0.14385614	1.1072006	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8704338782608696	False
myeloid cell	2556.0	1000.0	0.1978022	0.7984603	0.3876124	0.058771368	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.8874995806451612	False
myeloid dendritic cell	373.0	1000.0	0.28771228	0.5436193	0.6983017	-0.52278733	0.0	0.0	0.0	melanoma	scDRS	0.8220350857142857	False	0.9210020769230769	False
myeloid leukocyte	209.0	1000.0	0.58441556	-0.26750124	0.027972028	1.7198302	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.49664622857142854	False
naive B cell	2959.0	1000.0	0.24275725	0.6206096	0.8841159	-1.04535	0.0	0.0	0.0	melanoma	scDRS	0.8002808108108108	False	0.9295788813559323	False
neuroepithelial cell	151.0	1000.0	0.7802198	-0.52347165	0.4025974	0.30056116	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
neuron	484.0	1000.0	0.9190809	-1.2407868	0.52347654	-0.18571539	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
neuronal stem cell	97.0	1000.0	0.3006993	0.47880188	0.85714287	-1.0528533	0.0	0.0	0.0	melanoma	scDRS	0.8391608372093023	False	0.9295788813559323	False
neutrophil	153.0	1000.0	0.68031967	-0.5309253	0.6303696	-0.28548095	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
non-classical monocyte	149.0	1000.0	0.12587413	1.1480998	0.23276724	0.73395795	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8841159000000001	False
oligodendrocyte	2094.0	1000.0	0.13586414	1.0692927	0.07392608	1.5432597	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.6507777942857143	False
oligodendrocyte precursor cell	312.0	1000.0	0.6613387	-0.4321312	0.5194805	-0.11283531	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
pancreatic A cell	521.0	1000.0	0.9390609	-1.2696352	0.15484515	0.9938817	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8704338782608696	False
pancreatic B cell	1342.0	1000.0	0.94705296	-1.4366492	0.015984016	2.908958	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.47952048	False
pancreatic D cell	191.0	1000.0	0.955045	-1.5149564	0.63536465	-0.34425223	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
pancreatic PP cell	71.0	1000.0	0.9120879	-1.1541331	0.45754245	0.0845954	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
pancreatic acinar cell	576.0	1000.0	0.34565434	0.24582383	0.76623374	-0.7132751	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.9210020769230769	False
pancreatic ductal cell	313.0	1000.0	0.6923077	-0.558119	0.7932068	-0.77909636	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
pancreatic stellate cell	48.0	1000.0	0.44355646	0.13004376	0.74125874	-0.5249802	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.9210020769230769	False
pericyte cell	38.0	1000.0	0.64035964	-0.4102116	0.1978022	0.8894426	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.879120888888889	False
plasma cell	25.0	1000.0	0.005994006	4.7656074	0.36763236	0.41735187	0.0	0.0	0.0	melanoma	scDRS	0.31968031999999996	False	0.8874995806451612	False
plasmacytoid dendritic cell	6.0	1000.0	0.56343657	-0.23123522	0.45454547	0.3398385	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
precursor B cell	856.0	1000.0	0.45754245	0.05348647	0.6203796	-0.3514153	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.8970340689655173	False
proerythroblast	107.0	1000.0	0.51448554	-0.10475783	0.8541458	-1.076448	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.9295788813559323	False
professional antigen presenting cell	130.0	1000.0	0.45554444	-0.07655675	0.15684316	0.95356375	0.0	0.0	0.0	melanoma	scDRS	0.93106896	False	0.8704338782608696	False
promonocyte	1015.0	1000.0	0.1878122	0.8901787	0.54845154	-0.19396141	0.0	0.0	0.0	melanoma	scDRS	0.7811543225806451	False	0.8970340689655173	False
pulmonary interstitial fibroblast	50.0	1000.0	0.5284715	-0.17336573	0.44155845	0.16170567	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
regulatory T cell	47.0	1000.0	0.002997003	3.106027	0.16683316	0.9507141	0.0	0.0	0.0	melanoma	scDRS	0.31968031999999996	False	0.8704338782608696	False
respiratory basal cell	34.0	1000.0	0.3846154	0.22796197	0.73226774	-0.6546064	0.0	0.0	0.0	melanoma	scDRS	0.870827320754717	False	0.9210020769230769	False
secretory cell	563.0	1000.0	0.7332667	-0.65192354	0.74825174	-0.70525646	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
skeletal muscle satellite cell	2725.0	1000.0	0.37062937	0.25786528	0.33766234	0.2015799	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8874995806451612	False
smooth muscle cell	103.0	1000.0	0.996004	-2.1538277	0.6003996	-0.19850622	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
smooth muscle cell of the pulmonary artery	111.0	1000.0	0.95804197	-1.649319	0.40759242	0.31378064	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
smooth muscle cell of trachea	125.0	1000.0	0.88211787	-1.0083042	0.44955045	0.12067165	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8874995806451612	False
stromal cell	340.0	1000.0	0.12787212	1.1857277	0.33966035	0.34116584	0.0	0.0	0.0	melanoma	scDRS	0.7505537739130433	False	0.8874995806451612	False
thymocyte	1625.0	1000.0	0.37262738	0.24729998	0.6413586	-0.48142752	0.0	0.0	0.0	melanoma	scDRS	0.8599093384615385	False	0.8970340689655173	False
type I pneumocyte	4.0	1000.0	0.64035964	-0.40544394	0.86713284	-1.2182556	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9295788813559323	False
type II pneumocyte	167.0	1000.0	0.971029	-1.3491268	0.6503497	-0.41712037	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.8970340689655173	False
valve cell	315.0	1000.0	0.64235765	-0.43089426	0.7622378	-0.69493794	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.9210020769230769	False
vein endothelial cell	152.0	1000.0	0.996004	-2.2450306	0.18881118	0.90222853	0.0	0.0	0.0	melanoma	scDRS	0.999001	False	0.879120888888889	False
ventricular myocyte	147.0	1000.0	0.57742256	-0.25675765	0.3036963	0.46380925	0.0	0.0	0.0	melanoma	scDRS	0.9740259333333333	False	0.8874995806451612	False
B cell	5629.0	1000.0	0.1028971	1.2596558	0.2117882	0.6693423	6.0	6.0	26.0	UKB_460K.cov_EDU_YEARS	scDRS	0.5368544347826086	False	0.4500762315789474	False
Bergmann glial cell	54.0	1000.0	0.000999001	5.18598	0.23476523	0.7500315	14.0	17.0	27.0	UKB_460K.cov_EDU_YEARS	scDRS	0.01712573142857143	True	0.46953046	False
Brush cell of epithelium proper of large intestine	175.0	1000.0	0.02997003	2.0417628	0.06993007	1.496985	2.0	2.0	5.0	UKB_460K.cov_EDU_YEARS	scDRS	0.2997003	False	0.3227541692307692	False
CD4-positive, alpha-beta T cell	1170.0	1000.0	0.90909094	-1.2407582	0.37662336	0.26228014	2.0	2.0	3.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.5978437402597403	False
CD8-positive, alpha-beta T cell	1070.0	1000.0	0.94305694	-1.4520249	0.70729274	-0.56903636	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.8333413980582525	False
DN4 thymocyte	1756.0	1000.0	0.6683317	-0.45533094	0.11988012	1.069435	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.37462539	False
Kupffer cell	262.0	1000.0	0.996004	-2.0620303	0.38061938	0.25188008	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.996004	False	0.5978437402597403	False
NK cell	877.0	1000.0	0.95604396	-1.4382658	0.6843157	-0.4902359	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.8333413980582525	False
T cell	1329.0	1000.0	0.8631369	-1.0477836	0.08991009	1.3922093	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.35964036	False
adventitial cell	289.0	1000.0	0.3926074	0.25527576	0.8811189	-1.1537331	0.0	1.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.8413015714285714	False	0.942066796460177	False
aortic endothelial cell	467.0	1000.0	0.4865135	-0.027988037	0.8041958	-0.8247432	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9166218461538462	False	0.9019018317757009	False
astrocyte	592.0	1000.0	0.000999001	6.166046	0.000999001	7.3599505	137.0	195.0	261.0	UKB_460K.cov_EDU_YEARS	scDRS	0.01712573142857143	True	0.02997003	True
atrial myocyte	403.0	1000.0	0.23176824	0.6024289	0.84815186	-1.0391767	0.0	1.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.6858257860465117	False	0.933745166972477	False
basal cell	2139.0	1000.0	0.6013986	-0.32852364	0.064935066	1.730243	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.3116883168	False
basal cell of epidermis	4214.0	1000.0	0.11188811	1.2473818	0.1008991	1.3711056	1.0	5.0	27.0	UKB_460K.cov_EDU_YEARS	scDRS	0.537062928	False	0.3596403670588236	False
basal epithelial cell of tracheobronchial tree	404.0	1000.0	0.06793207	1.6962706	0.20879121	0.7522528	2.0	2.0	4.0	UKB_460K.cov_EDU_YEARS	scDRS	0.45288046666666665	False	0.4500762315789474	False
basophil	71.0	1000.0	0.41758242	0.06390174	0.993007	-2.4172366	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.8639636275862069	False	1.0	False
bladder cell	1012.0	1000.0	0.65334666	-0.44755623	0.3206793	0.30235106	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.5685742628571429	False
bladder urothelial cell	1420.0	1000.0	0.45554444	-0.016909178	0.02897103	2.3727918	1.0	1.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.8961529967213115	False	0.21728272499999998	False
brain pericyte	484.0	1000.0	0.06593407	1.6779169	0.46353647	-0.012457717	0.0	1.0	3.0	UKB_460K.cov_EDU_YEARS	scDRS	0.45288046666666665	False	0.6621949571428571	False
bronchial smooth muscle cell	2117.0	1000.0	0.7242757	-0.61197865	0.006993007	3.1602492	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.10656010666666667	False
bulge keratinocyte	2604.0	1000.0	0.5954046	-0.29376188	0.18481518	0.7723049	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.44355643199999994	False
chondrocyte	275.0	1000.0	0.37762237	0.17421192	0.3996004	0.15176111	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.8391608222222222	False	0.6147698461538462	False
ciliated columnar cell of tracheobronchial tree	70.0	1000.0	0.27972028	0.582998	0.7622378	-0.6793474	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.6953046719999999	False	0.8711289142857143	False
classical monocyte	202.0	1000.0	0.95604396	-1.6426332	0.45054945	0.13705598	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.6513967951807229	False
club cell of bronchiole	22.0	1000.0	0.8221778	-0.89295447	0.7152847	-0.39834523	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.8333413980582525	False
dendritic cell	62.0	1000.0	0.9370629	-1.3340291	0.9130869	-1.316836	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.9600743793103448	False
early pro-B cell	72.0	1000.0	0.5654346	-0.28993666	0.8021978	-0.85121673	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.9019018317757009	False
endocardial cell	375.0	1000.0	0.7962038	-0.82059604	0.12887113	1.197622	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.3771837951219512	False
endothelial cell	4928.0	1000.0	0.5764236	-0.23734488	0.2027972	0.6241435	1.0	4.0	12.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.4500762315789474	False
endothelial cell of coronary artery	2694.0	1000.0	0.4955045	-0.065418474	0.18881118	0.8585555	0.0	1.0	5.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9166218461538462	False	0.4442616	False
endothelial cell of hepatic sinusoid	617.0	1000.0	0.9460539	-1.4205359	0.61738265	-0.38379163	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.8052817173913044	False
endothelial cell of lymphatic vessel	99.0	1000.0	0.12687312	1.1657507	0.50549453	-0.0396715	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.5855682461538462	False	0.6893107227272728	False
enterocyte of epithelium of large intestine	2542.0	1000.0	0.8961039	-1.2094307	0.0969031	1.4553097	0.0	0.0	0.0	UKB_460K.cov_EDU_YEARS	scDRS	0.9824074576271187	False	0.3596403670588236	False
enteroendocrine cell	161.0	1000.0	0.2837163	0.49945787	0.053946055	1.6947162	0.0	0.0	1.0	UKB_460K.cov_EDU_YEARS	scDRS	0.6953046719999999	False	0.3116883168	False
