trait	short_name	cluster
neutrophil_count	Neutrophil count	3
UKB_460K.blood_EOSINOPHIL_COUNT	Eosinophil count	1
UKB_460K.blood_LYMPHOCYTE_COUNT	Lymphocyte count	2
UKB_460K.blood_MEAN_CORPUSCULAR_HEMOGLOBIN	Mean corpuscular hemoglobin	0
UKB_460K.blood_MONOCYTE_COUNT	Monocyte count	3
UKB_460K.blood_PLATELET_COUNT	Platelet count	0
UKB_460K.blood_RBC_DISTRIB_WIDTH	Red blood cell distribution width	0
UKB_460K.blood_RED_COUNT	Red blood cell count	0
UKB_460K.blood_WHITE_COUNT	White blood cell count	3
PASS_UC_deLange2017	UC	1
PASS_CD_deLange2017	Crohn disease	1
PASS_Celiac	Celiac disease	2
PASS_IBD_deLange2017	IBD	1
PASS_Lupus	SLE	2
PASS_Multiple_sclerosis	Multiple sclerosis	2
PASS_Primary_biliary_cirrhosis	Primary biliary cirrhosis	2
PASS_Rheumatoid_Arthritis	RA	2
UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED	Eczema	2
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP	Hypothyroidism	2
vitiligo	Vitiligo	11
PASS_FastingGlucose_Manning	Fasting glucose	4
PASS_Type_2_Diabetes	Type 2 diabetes	4
UKB_460K.biochemistry_AlanineAminotransferase	Alanine aminotransferase	5
UKB_460K.biochemistry_AlkalinePhosphatase	Alkaline phosphatase	5
UKB_460K.biochemistry_Cholesterol	Total cholesterol	5
UKB_460K.biochemistry_Glucose	Blood glucose	4
UKB_460K.biochemistry_HbA1c	Hemoglobin A1c	4
UKB_460K.biochemistry_HDLcholesterol	HDL cholesterol	5
UKB_460K.biochemistry_LDLdirect	LDL cholesterol	5
UKB_460K.biochemistry_SHBG	Sex hormone binding globulin	5
UKB_460K.biochemistry_Testosterone_Male	Testosterone male	5
UKB_460K.biochemistry_TotalBilirubin	Total bilirubin	0
UKB_460K.biochemistry_TotalProtein	Total protein	2
UKB_460K.biochemistry_Triglycerides	Triglycerides	5
UKB_460K.body_WHRadjBMIz	WHRadjBMI	11
UKB_460K.impedance_BASAL_METABOLIC_RATEz	Basal metabolic rate	8
vitaminD	Vitamin D	5
UKB_460K.body_BMIz	BMI	8
asd	ASD	7
PASS_ADHD_Demontis2018	ADHD	7
PASS_Alzheimers_Jansen2019	Alzheimer disease	3
PASS_BIP_Mullins2021	Bipolar disorder	6
PASS_GeneralRiskTolerance_KarlssonLinner2019	General risk tolerance	6
PASS_Insomnia_Jansen2019	Insomnia	8
PASS_Intelligence_SavageJansen2018	Intelligence	7
PASS_MDD_Howard2019	MDD	9
PASS_ReactionTime_Davies2018	Reaction time	7
PASS_Schizophrenia_Pardinas2018	Schizophrenia	6
PASS_SleepDuration_Dashti2019	Sleep duration	8
PASS_SWB	Subjective well being	9
PASS_VerbalNumericReasoning_Davies2018	Verbal numeric reasoning	7
PASS_Worry_Nagel2018	Worry	9
UKB_460K.mental_NEUROTICISM	Neuroticism	9
UKB_460K.other_MORNINGPERSON	Morning person	7
PASS_DrinksPerWeek_Liu2019	Drinks per week	7
UKB_460K.cov_EDU_COLLEGE	College education	7
UKB_460K.cov_EDU_YEARS	Years of education	7
UKB_460K.cov_SMOKING_STATUS	Smoking status	7
UKB_460K.repro_NumberChildrenEverBorn_Pooled	Number of children ever born	7
Coronary_atherosclerosis	Coronary atherosclerosis	10
heart_failure	Heart failure	10
PASS_AtrialFibrillation_Nielsen2018	Atrial fibrillation	10
PASS_Coronary_Artery_Disease	Coronary artery disease	10
UKB_460K.bp_SYSTOLICadjMEDz	Systolic blood pressure	10
UKB_460K.bp_DIASTOLICadjMEDz	Diastolic blood pressure	10
UKB_460K.disease_HYPERTENSION_DIAGNOSED	Hypertension	10
IPF	IPF	2
UKB_460K.disease_ASTHMA_DIAGNOSED	Asthma	2
UKB_460K.disease_RESPIRATORY_ENT	Respiratory ENT	2
UKB_460K.lung_FEV1FVCzSMOKE	FEV1 FVC ratio	11
UKB_460K.lung_FVCzSMOKE	Lung FVC	11
hair_color	Hair color	11
melanoma	Melanoma	11
ProstateCancer_Harris2024	Prostate cancer	10
UKB_460K.bmd_HEEL_TSCOREz	Heel T score	11
UKB_460K.body_BALDING1	Balding Type I	11
UKB_460K.body_HEIGHTz	Height	11
UKB_460K.cancer_BREAST	Breast cancer	11
UKB_460K.pigment_HAIR	Hair pigmentation	11
UKB_460K.repro_MENARCHE_AGE	Age at menarche	8
UKB_460K.repro_MENOPAUSE_AGE	Age at menopause	0
