source	target	weight
Asthma	RA	0.8734252541036843
Asthma	Eczema	0.907712476017604
Asthma	Respiratory ENT	0.9900399022513287
FEV1 FVC ratio	WHRadjBMI	0.8926314865592421
FEV1 FVC ratio	Lung FVC	0.898345213532395
FEV1 FVC ratio	Heel T score	0.9107163858115487
FEV1 FVC ratio	Height	0.8337947623161319
Lung FVC	WHRadjBMI	0.8688707778188968
Lung FVC	Systolic blood pressure	0.8594398579741238
Hair color	Vitamin D	0.7730650291257721
Hair color	Hair pigmentation	0.9821726638616413
Melanoma	Vitiligo	0.8911158910361506
Melanoma	Prostate cancer	0.8670273071953982
Prostate cancer	Vitiligo	0.8652254084890517
Heel T score	WHRadjBMI	0.9126046797882581
Heel T score	Height	0.8755119866191067
Balding Type I	Coronary atherosclerosis	0.8165399615373311
Balding Type I	Hair color	0.791924423987738
Balding Type I	Hair pigmentation	0.8154208678858773
Height	WHRadjBMI	0.8255784825760583
Breast cancer	Vitiligo	0.8669257138803127
Breast cancer	Fasting glucose	0.8686952235870341
Breast cancer	Type 2 diabetes	0.8759198184217304
Breast cancer	Testosterone male	0.8598386053716193
Breast cancer	Vitamin D	0.8306554428491917
Breast cancer	Coronary artery disease	0.8656850268920364
Breast cancer	Prostate cancer	0.8912622192887399
Hair pigmentation	Vitamin D	0.77319324256513
Age at menarche	Bipolar disorder	0.9036247757097593
Age at menarche	General risk tolerance	0.9080264083509477
Age at menarche	Smoking status	0.908425238016774
Age at menopause	Hemoglobin A1c	0.82834464847382
Age at menopause	Sex hormone binding globulin	0.8498824341745429
Age at menopause	Testosterone male	0.8625386856038344
