celltype	pvalue	q	trait	discovery	z
dendritic cell	7.751445378423881e-15	4.65086722705433e-13	PASS_UC_deLange2017	True	7.683310760608814
T cell	1.18961370429205e-13	4.75845481716821e-12	PASS_UC_deLange2017	True	7.325548961338574
non-classical monocyte	1.2364156551260599e-12	3.70924696537818e-11	PASS_UC_deLange2017	True	7.004831571936724
classical monocyte	8.05223607638138e-11	1.93253665833153e-09	PASS_UC_deLange2017	True	6.394527351501392
intermediate monocyte	3.22304998899957e-10	6.4460999779991405e-09	PASS_UC_deLange2017	True	6.179117275881579
CD8-positive, alpha-beta T cell	8.7135081399653e-10	1.49374425256548e-08	PASS_UC_deLange2017	True	6.020136391258629
mature alpha-beta T cell	2.0210656998969103e-09	3.03159854984536e-08	PASS_UC_deLange2017	True	5.882459961570661
DN4 thymocyte	2.45487762287091e-09	3.27317016382787e-08	PASS_UC_deLange2017	True	5.850202286718587
macrophage	2.84377435242208e-09	3.33306786242479e-08	PASS_UC_deLange2017	True	5.82569476015149
mature NK T cell	3.0553122072227303e-09	3.33306786242479e-08	PASS_UC_deLange2017	True	5.8137017548172105
B cell	2.12444965499974e-08	2.12444965499974e-07	PASS_UC_deLange2017	True	5.4801814204007355
NK cell	3.19538864536114e-08	2.94958951879489e-07	PASS_UC_deLange2017	True	5.407507765439642
regulatory T cell	1.20659236021827e-07	1.03422202304423e-06	PASS_UC_deLange2017	True	5.16431697022637
promonocyte	1.52209903214652e-07	1.21767922571721e-06	PASS_UC_deLange2017	True	5.120689949559958
naive B cell	1.06066039824271e-06	7.95495298682031e-06	PASS_UC_deLange2017	True	4.741509145709426
leukocyte	6.36413188829634e-06	4.49232839173859e-05	PASS_UC_deLange2017	True	4.364725244297069
proerythroblast	8.07894424982677e-06	5.16328412967747e-05	PASS_UC_deLange2017	True	4.3122810164575895
immature B cell	8.17519987198932e-06	5.16328412967747e-05	PASS_UC_deLange2017	True	4.309662340733308
lymphocyte	1.2936629281279e-05	7.57851151661456e-05	PASS_UC_deLange2017	True	4.207044170064535
myeloid dendritic cell	1.32623951540755e-05	7.57851151661456e-05	PASS_UC_deLange2017	True	4.20141835865371
myeloid leukocyte	2.68506112229499e-05	0.0001464578793979	PASS_UC_deLange2017	True	4.038905372662258
monocyte	0.0006400289849845	0.0033392816607891	PASS_UC_deLange2017	True	3.2204135422352396
granulocyte	0.0006868743170362	0.0033461958016646	PASS_UC_deLange2017	True	3.2001105947048822
neutrophil	0.0006971241253468	0.0033461958016646	PASS_UC_deLange2017	True	3.1958391297323567
granulocytopoietic cell	0.0018133472636614	0.0083692950630527	PASS_UC_deLange2017	True	2.9089287937812047
intestinal crypt stem cell	0.0030321291488898	0.0134761295506215	PASS_UC_deLange2017	True	2.744286520111917
plasma cell	0.0066592515052901	0.0285396493083863	PASS_UC_deLange2017	True	2.4751371215186513
basophil	0.0070162425447186	0.0290327277712494	PASS_UC_deLange2017	True	2.4564307337425206
pericyte cell	0.0079125915697303	0.0316503662789213	PASS_UC_deLange2017	True	2.4129225227034725
large intestine goblet cell	0.0117501452745739	0.0454844333209314	PASS_UC_deLange2017	True	2.2652019335782585
secretory cell	0.0144686456702225	0.0542574212633345	PASS_UC_deLange2017	True	2.184339757961899
granulocyte monocyte progenitor cell	0.015297627056431	0.0556277347506581	PASS_UC_deLange2017	True	2.1622974765912977
hematopoietic stem cell	0.0327583131833335	0.115617575941177	PASS_UC_deLange2017	False	1.8417165207110446
enterocyte of epithelium of large intestine	0.0339254379067796	0.116315787108959	PASS_UC_deLange2017	False	1.8259959239893728
kidney interstitial fibroblast	0.049816141667506	0.166053805558353	PASS_UC_deLange2017	False	1.6466389314069958
myeloid cell	0.0642123841282465	0.208256380956475	PASS_UC_deLange2017	False	1.5203430951857415
basal cell	0.0662387556674309	0.20917501789715	PASS_UC_deLange2017	False	1.5044034700861941
bladder cell	0.0726172835647309	0.223437795583788	PASS_UC_deLange2017	False	1.4565719793632774
fenestrated cell	0.0796483676086543	0.238945102825963	PASS_UC_deLange2017	False	1.407440748827164
megakaryocyte-erythroid progenitor cell	0.0850472157470579	0.248918680235291	PASS_UC_deLange2017	False	1.3719004461798239
plasmacytoid dendritic cell	0.0915774693127612	0.256000211096473	PASS_UC_deLange2017	False	1.3311035573619365
epithelial cell of large intestine	0.0917334089762362	0.256000211096473	PASS_UC_deLange2017	False	1.3301561818058205
