celltype	pvalue	q	trait	discovery	z
macrophage	0.995812834541438	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.636592725114805
plasma cell	0.996342704303549	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.6821716678153233
Brush cell of epithelium proper of large intestine	0.996702074044762	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.7165886969629467
proerythroblast	0.996711745160367	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.7175606712708795
regulatory T cell	0.996734594522627	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.719867348310465
endocardial cell	0.996782205165161	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.724720729908581
neutrophil	0.996972730114394	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.744812941446739
myeloid dendritic cell	0.997721453338669	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-2.836780472978792
promonocyte	0.99873647775862	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.020084169041694
leukocyte	0.998937137121788	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.0720802388395514
keratinocyte	0.999095563977468	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.1199411019243346
dendritic cell	0.999283066004158	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.1877452579626326
NK cell	0.999400651359174	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.239189915696663
intestinal crypt stem cell	0.999595856210752	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.349941059107776
basal epithelial cell of tracheobronchial tree	0.999632014887141	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.3758163694238177
fibrocyte	0.999651898967431	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.3910704343075944
epithelial cell of large intestine	0.999680925521043	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.4148596011024224
large intestine goblet cell	0.999793609582177	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.5317747291300523
mature NK T cell	0.999819897859804	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.567644839189368
myeloid leukocyte	0.999877059217042	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.666511812575891
epithelial cell	0.999967736982412	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-3.9956167969477074
club cell of bronchiole	0.99998963172864	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-4.256808933257109
myeloid cell	0.999998596373483	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-4.684440787988179
enterocyte of epithelium of large intestine	0.999999319053265	0.999999319053265	UKB_460K.mental_NEUROTICISM	False	-4.830501852907212
promonocyte	5.24897167155612e-17	6.29876600586734e-15	UKB_460K.blood_PLATELET_COUNT	True	8.299013508711289
hematopoietic stem cell	3.1010480418598003e-16	1.8606288251158802e-14	UKB_460K.blood_PLATELET_COUNT	True	8.085281137791528
non-classical monocyte	6.406319294571201e-16	2.56252771782848e-14	UKB_460K.blood_PLATELET_COUNT	True	7.996383982512564
intermediate monocyte	1.78428108038702e-15	5.3528432411610605e-14	UKB_460K.blood_PLATELET_COUNT	True	7.869221028151666
myeloid leukocyte	5.5897634377756904e-15	1.34154322506617e-13	UKB_460K.blood_PLATELET_COUNT	True	7.72506615376649
classical monocyte	7.49505758563887e-15	1.49901151712777e-13	UKB_460K.blood_PLATELET_COUNT	True	7.687616653791287
