cell_type	beta	se	z	p	q	sig_pct	trait	discovery
pancreatic stellate cell	2.7413280400259343	6.231636455390581	0.4399050008211873	0.374037426997996	0.6807741592289068	0.0	UKB_460K.biochemistry_LDLdirect	False
basal cell	3.686938500274093	6.393945990763453	0.5766295970594933	0.3772028409617898	0.6807741592289068	0.0	UKB_460K.biochemistry_LDLdirect	False
NK cell	5.702688628543109	7.056285972470812	0.8081714163501043	0.3857720235630472	0.6807741592289068	0.0	UKB_460K.biochemistry_LDLdirect	False
chondrocyte	2.720495740560472	4.50668707938894	0.6036575632247675	0.3803421444097784	0.6807741592289068	0.0	UKB_460K.biochemistry_LDLdirect	False
endothelial cell of lymphatic vessel	1.6319137166926203	4.366242108893216	0.373757037743903	0.3955572486706824	0.6879256498620564	0.0	UKB_460K.biochemistry_LDLdirect	False
thymocyte	3.2656893153745954	6.851104765515092	0.4766660892141632	0.4639860313108478	0.7954046251043105	0.0	UKB_460K.biochemistry_LDLdirect	False
kidney collecting duct epithelial cell	0.9153868484812362	3.94802773518816	0.2318592750305513	0.4848010803747871	0.7969332828078692	0.0	UKB_460K.biochemistry_LDLdirect	False
bladder urothelial cell	1.600449372543196	5.201949442373366	0.3076633847123662	0.4720971393590308	0.7969332828078692	0.0	UKB_460K.biochemistry_LDLdirect	False
skeletal muscle satellite cell	3.924596510320759	8.12231734533597	0.4831867979862121	0.4803274169288651	0.7969332828078692	0.0	UKB_460K.biochemistry_LDLdirect	False
neuroepithelial cell	6.639464115989727	11.19196193587886	0.593235051551161	0.5377920529241816	0.8366057349235393	0.0	UKB_460K.biochemistry_LDLdirect	False
precursor B cell	2.3308134529864155	10.68240744880897	0.218191775978952	0.5333040482809971	0.8366057349235393	0.0	UKB_460K.biochemistry_LDLdirect	False
pericyte cell	0.8769925487211827	2.7486252730746705	0.319065882611259	0.5437937277003005	0.8366057349235393	0.0	UKB_460K.biochemistry_LDLdirect	False
professional antigen presenting cell	5.789134922688416	5.052571666845899	1.145779872985418	0.5342662737591608	0.8366057349235393	0.0	UKB_460K.biochemistry_LDLdirect	False
megakaryocyte-erythroid progenitor cell	2.40793856876973	3.390721711854955	0.7101551744429135	0.5332963991366417	0.8366057349235393	0.0	UKB_460K.biochemistry_LDLdirect	False
adventitial cell	2.416173725685412	7.378502598593427	0.3274612556409494	0.6050091943475839	0.9190013078697478	0.0	UKB_460K.biochemistry_LDLdirect	False
pulmonary interstitial fibroblast	0.3031157665619721	4.471127912834658	0.0677940270265717	0.6371764540887376	0.932453347446933	0.0	UKB_460K.biochemistry_LDLdirect	False
regulatory T cell	0.5856734499305853	10.240169183537892	0.0571937278997416	0.6339806779762369	0.932453347446933	0.0	UKB_460K.biochemistry_LDLdirect	False
early pro-B cell	-0.3240604187527717	5.044731497361461	-0.0642373967618028	0.6350064666818485	0.932453347446933	0.0	UKB_460K.biochemistry_LDLdirect	False
type II pneumocyte	-0.4551614419194378	3.8088801752870536	-0.1195000685168928	0.6965653697617642	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
type I pneumocyte	-3.320173207002777	3.44801003982263	-0.9629244603863076	0.9208304638704928	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
stromal cell	-1.3730541988997342	5.339088287241097	-0.2571701618384815	0.8374097865693102	0.9999993731849124	0.0	UKB_460K.biochemistry_LDLdirect	False
