cell_type	beta	se	z	p	q	sig_pct	trait	discovery
pancreatic D cell	1.7177474618230777	2.452846259346209	0.7003078384052217	0.262996138260429	0.5551251766634594	0.0	UKB_460K.disease_CARDIOVASCULAR	False
myeloid cell	7.76670940320372	6.19915800415246	1.2528652113724552	0.2636844589151432	0.5551251766634594	0.0	UKB_460K.disease_CARDIOVASCULAR	False
secretory cell	2.583082532590482	3.655607885571188	0.7066082067461334	0.2925513400390652	0.5908218991665697	0.0	UKB_460K.disease_CARDIOVASCULAR	False
classical monocyte	6.4347939972791	9.754197155440306	0.6596948877222722	0.2975634150167673	0.5908218991665697	0.0	UKB_460K.disease_CARDIOVASCULAR	False
respiratory basal cell	2.435063397527552	3.501802493213817	0.6953742828861675	0.3003344654096729	0.5908218991665697	0.0	UKB_460K.disease_CARDIOVASCULAR	False
late pro-B cell	3.640808968251097	4.896858421091941	0.7434989242427882	0.2956278545128694	0.5908218991665697	0.0	UKB_460K.disease_CARDIOVASCULAR	False
promonocyte	6.58385534848932	6.876371471540369	0.957460686313748	0.3121501215169552	0.6041615255166874	0.0	UKB_460K.disease_CARDIOVASCULAR	False
endothelial cell of lymphatic vessel	2.576804666261697	4.5483162392611804	0.5665403482762816	0.324699430728296	0.608811432615555	0.0	UKB_460K.disease_CARDIOVASCULAR	False
epithelial cell	3.866680814872728	1.9135266433534328	2.020709159343826	0.3228630034422722	0.608811432615555	0.0	UKB_460K.disease_CARDIOVASCULAR	False
type I pneumocyte	2.532933823322748	3.461024075584188	0.731845190327147	0.3353102039710579	0.6190342227157993	0.0	UKB_460K.disease_CARDIOVASCULAR	False
lymphoid progenitor cell	1.870280742645264	5.538950242383358	0.3376597840388795	0.3630982058481512	0.6558360101782965	0.0	UKB_460K.disease_CARDIOVASCULAR	False
plasma cell	2.0433748521552717	5.500958797975272	0.3714579452780799	0.3661751056828822	0.6558360101782965	0.0	UKB_460K.disease_CARDIOVASCULAR	False
pancreatic acinar cell	1.8807436158370008	3.4276649146936222	0.5486952962568423	0.4341120336701136	0.7344145430961939	0.0	UKB_460K.disease_CARDIOVASCULAR	False
T cell	4.508023038730456	4.718179085373027	0.9554582302112944	0.4406487258577163	0.7344145430961939	0.0	UKB_460K.disease_CARDIOVASCULAR	False
skeletal muscle satellite cell	4.666734597070691	7.881114892423725	0.5921414242491144	0.4268391813013272	0.7344145430961939	0.0	UKB_460K.disease_CARDIOVASCULAR	False
epithelial cell of proximal tubule	1.7368343595061295	3.035411774634064	0.5721906905745975	0.4269156026570119	0.7344145430961939	0.0	UKB_460K.disease_CARDIOVASCULAR	False
pancreatic A cell	0.8975632020942979	2.8873409573205544	0.3108615211579426	0.4354311184925497	0.7344145430961939	0.0	UKB_460K.disease_CARDIOVASCULAR	False
Kupffer cell	0.8129531640068738	3.230318259228014	0.2516634890957012	0.4702604243808931	0.7730308345987285	0.0	UKB_460K.disease_CARDIOVASCULAR	False
granulocyte monocyte progenitor cell	1.9023765785933864	3.9455660227896554	0.4821555557821686	0.4883813335545627	0.79196973008848	0.0	UKB_460K.disease_CARDIOVASCULAR	False
microglial cell	3.298635564744911	4.611791962140757	0.7152611374979957	0.5250397784611064	0.8220068159016878	0.0	UKB_460K.disease_CARDIOVASCULAR	False
regulatory T cell	2.407348721292168	9.4112783874513	0.2557940188552971	0.5274543735369164	0.8220068159016878	0.0	UKB_460K.disease_CARDIOVASCULAR	False
thymocyte	2.2453112956551777	5.680876093446607	0.3952403218660838	0.5159656473305392	0.8220068159016878	0.0	UKB_460K.disease_CARDIOVASCULAR	False
Brush cell of epithelium proper of large intestine	2.26090931332986	4.593724101297193	0.4921735096566675	0.5398940170389661	0.83004909422304	0.0	UKB_460K.disease_CARDIOVASCULAR	False
monocyte	2.8131498056172024	5.250149018957756	0.5358228491151782	0.546448987030168	0.83004909422304	0.0	UKB_460K.disease_CARDIOVASCULAR	False
early pro-B cell	0.359521222489813	4.727378681417912	0.0760508617392968	0.5847533166657621	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
oligodendrocyte	0.0681665646357721	4.068682166375447	0.0167539664806252	0.5837391969932255	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
CD8-positive, alpha-beta T cell	3.255699706046961	9.185144525926171	0.3544527466995601	0.5777508452116814	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
kidney interstitial fibroblast	-1.3346277883898512	8.48511386001707	-0.1572904984432544	0.6005163387803464	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
epithelial cell of thymus	2.8734328573182832	2.766348756187057	1.038709544807656	0.6201768287712227	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
keratinocyte	0.6137899709933714	3.482788299907348	0.1762352225111414	0.6489410767970519	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
enteroendocrine cell	-0.4260727988259563	2.804853216137408	-0.1519055601108087	0.6592050505978231	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
large intestine goblet cell	0.4177100425208995	4.016675451314895	0.1039939740175319	0.6648099032478467	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
enterocyte of epithelium of large intestine	1.2989885699863868	4.388021366980401	0.2960305935976516	0.6348666774926017	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
leukocyte	3.3170832440601448	3.120772013624239	1.0629047010095185	0.6307319072831666	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
megakaryocyte-erythroid progenitor cell	1.2614813616637135	2.8553444707817905	0.4417965588993615	0.6539336619699548	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
fibrocyte	4.3743144772453215	5.113608183472962	0.8554262118445021	0.6240099986845744	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
mature alpha-beta T cell	2.1883082142028765	6.654625921885878	0.3288401541859657	0.6478306522829389	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
lung neuroendocrine cell	-0.3906576414371182	2.7781923007605007	-0.1406157670691765	0.6183719172249478	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
mature NK T cell	1.6166727796955196	7.560511844588307	0.2138311284906865	0.607406044769456	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
macrophage	5.029562964000496	4.01886251113959	1.2514891838323454	0.5716105225550123	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
lymphocyte	-2.007436752319336	4.6670650357558365	-0.4301283005357197	0.6656150316702145	0.8320187895877681	0.0	UKB_460K.disease_CARDIOVASCULAR	False
ciliated columnar cell of tracheobronchial tree	-0.4364545047283172	0.9500856248018876	-0.45938438950629	0.6736385495911867	0.833367277844767	0.0	UKB_460K.disease_CARDIOVASCULAR	False
myeloid dendritic cell	-0.541982912626871	6.193259503754471	-0.0875117395449537	0.7177072608873525	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
hepatocyte	-0.3148824367648925	1.801888790355264	-0.1747513156474044	0.6957686355858614	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
basal cell	-1.090630171863978	5.864410803584719	-0.1859743814668154	0.7120385120461081	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
basal epithelial cell of tracheobronchial tree	2.968158954079632	4.553859585872265	0.6517897396942025	0.6866431484024684	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
neuronal stem cell	0.0033286798125673	1.8784441773425813	0.0017720408478022	0.7052701515801151	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
neuron	1.1105078977353728	2.515102565270206	0.4415358296197623	0.7169841416185115	0.8361637990920612	0.0	UKB_460K.disease_CARDIOVASCULAR	False
lung macrophage	-1.6949970308623483	8.172806042093255	-0.2073947457130915	0.7443551465048346	0.8588713228901937	0.0	UKB_460K.disease_CARDIOVASCULAR	False
luminal epithelial cell of mammary gland	-1.289456655210698	3.2765328662298767	-0.3935430248543192	0.802966013380476	0.9123700574765564	0.0	UKB_460K.disease_CARDIOVASCULAR	False
kidney collecting duct epithelial cell	-2.587978658792577	3.939676030310714	-0.656901389576561	0.8059268841042916	0.9123700574765564	0.0	UKB_460K.disease_CARDIOVASCULAR	False
NK cell	-1.482322613176283	5.938731549923206	-0.2496025625531854	0.8293970421077985	0.9301649070367832	0.0	UKB_460K.disease_CARDIOVASCULAR	False
medium spiny neuron	-0.964980011600378	0.999772218375504	-0.9651998663939084	0.8576961003835268	0.9529956670928076	0.0	UKB_460K.disease_CARDIOVASCULAR	False
oligodendrocyte precursor cell	-1.8228639157809736	1.762108039499263	-1.0344790869344058	0.8751926221109889	0.9635148133331988	0.0	UKB_460K.disease_CARDIOVASCULAR	False
Bergmann glial cell	-2.8676216717062704	2.527956314600628	-1.1343636182096382	0.8985776533114618	0.971435300877256	0.0	UKB_460K.disease_CARDIOVASCULAR	False
neuroepithelial cell	-2.541741253484084	7.192100255571376	-0.3534073724174129	0.8923635073694348	0.971435300877256	0.0	UKB_460K.disease_CARDIOVASCULAR	False
club cell of bronchiole	-2.124888047900569	3.425334354554004	-0.6203447103128829	0.9127746299736396	0.9779728178288996	0.0	UKB_460K.disease_CARDIOVASCULAR	False
granulocytopoietic cell	-6.0743907256547	5.785960483155756	-1.0498500194286895	0.9410854725898726	0.990616286936708	0.0	UKB_460K.disease_CARDIOVASCULAR	False
mucus secreting cell	-2.5715277904893346	2.4781380770791674	-1.037685435801156	0.940307587554398	0.990616286936708	0.0	UKB_460K.disease_CARDIOVASCULAR	False
ependymal cell	-1.3904066320764887	1.0266060379537278	-1.3543721551140522	0.957770175762068	0.9930948405048318	0.0	UKB_460K.disease_CARDIOVASCULAR	False
granulocyte	-7.23081395103555	6.746595700767919	-1.0717722347305496	0.9599916791546708	0.9930948405048318	0.0	UKB_460K.disease_CARDIOVASCULAR	False
neutrophil	-9.262447735719524	7.1433127501996525	-1.296659975507952	0.981956765717925	0.9971041311640428	0.0	UKB_460K.disease_CARDIOVASCULAR	False
professional antigen presenting cell	-2.4916064915414435	3.2798187220115764	-0.7596781111162427	0.9955332591941104	0.9971041311640428	0.0	UKB_460K.disease_CARDIOVASCULAR	False
astrocyte	-6.708426084145336	2.9971196383720358	-2.2382910572729737	0.9971041311640428	0.9971041311640428	0.0	UKB_460K.disease_CARDIOVASCULAR	False
interneuron	-10.058903327317807	6.522941468874165	-1.5420808810436768	0.984598233425412	0.9971041311640428	0.0	UKB_460K.disease_CARDIOVASCULAR	False
T cell	48.60558508200048	4.524588254800248	10.742543264668027	3.5819186828016463e-43	4.298302419361975e-41	0.9541008276899924	PASS_IBD_deLange2017	True
CD4-positive, alpha-beta T cell	71.19057631423233	6.607302312582256	10.774529898331492	5.628613183674717e-41	3.37716791020483e-39	0.994017094017094	PASS_IBD_deLange2017	True
macrophage	36.448642693697984	3.345186625408145	10.895847309939215	8.508062669958317e-41	3.403225067983327e-39	0.8908868001634654	PASS_IBD_deLange2017	True
regulatory T cell	90.76071185132078	8.816914431449844	10.29393134718176	4.270079762648221e-32	1.2810239287944664e-30	1.0	PASS_IBD_deLange2017	True
mature alpha-beta T cell	57.15257509724457	6.012586541739342	9.5054889772466	1.1120153146602403e-30	2.6688367551845774e-29	0.996969696969697	PASS_IBD_deLange2017	True
myeloid cell	49.1108207347749	5.346433801823172	9.185715666773572	1.4140705775388198e-30	2.82814115507764e-29	0.871283255086072	PASS_IBD_deLange2017	True
fibrocyte	28.26926364499661	2.753587983977502	10.2663375238013	2.6649842896841728e-30	4.568544496601439e-29	0.7045454545454546	PASS_IBD_deLange2017	True
B cell	84.97065194704292	9.409857089221404	9.029962000631576	5.5963006828577294e-30	8.394451024286594e-29	0.9584295612009238	PASS_IBD_deLange2017	True
CD8-positive, alpha-beta T cell	66.68754202861368	7.314710019573662	9.11690851040744	1.0541179844113351e-28	1.4054906458817805e-27	0.985981308411215	PASS_IBD_deLange2017	True
naive B cell	79.98696180404208	9.185603725948154	8.707861147775095	5.84118592960005e-28	7.00942311552006e-27	0.9466035822913146	PASS_IBD_deLange2017	True
mature NK T cell	58.42058642114859	6.5803048985716135	8.878097188753358	7.246412117632496e-27	7.905176855599086e-26	0.949748743718593	PASS_IBD_deLange2017	True
DN4 thymocyte	59.57859354355346	6.864271977904648	8.679521110954013	2.172167201764595e-26	2.1721672017645947e-25	0.9943052391799544	PASS_IBD_deLange2017	True
proerythroblast	29.35162873653328	3.2338981622346115	9.076237798487574	2.3607496386587818e-25	2.1791535126081062e-24	0.8317757009345794	PASS_IBD_deLange2017	True
leukocyte	27.84954812624374	3.148595744006839	8.845069481928146	1.8847024565174565e-22	1.6154592484435339e-21	0.8544303797468354	PASS_IBD_deLange2017	True
NK cell	46.04540946239106	5.600854059625664	8.2211407353593	6.22317167970575e-22	4.9785373437646e-21	0.984036488027366	PASS_IBD_deLange2017	True
myeloid leukocyte	36.90519937866465	5.065595560174239	7.285461095396894	1.0172271412197371e-19	7.629203559148029e-19	0.9090909090909092	PASS_IBD_deLange2017	True
dendritic cell	39.35649087036474	4.985357837711633	7.894416439408502	9.362737398523817e-19	6.608991104840341e-18	0.9193548387096774	PASS_IBD_deLange2017	True
promonocyte	44.43955366612272	6.066079249630856	7.32591049957467	1.100290008628579e-18	6.94920005449629e-18	0.9665024630541872	PASS_IBD_deLange2017	True
non-classical monocyte	87.52052204458022	10.964285936114154	7.982327581981898	1.0654723285905451e-18	6.94920005449629e-18	0.9932885906040269	PASS_IBD_deLange2017	True
epithelial cell of thymus	20.441691491645724	2.663147031615423	7.67576526904942	1.5362219239739946e-17	9.217331543843968e-17	0.2181818181818181	PASS_IBD_deLange2017	True
intermediate monocyte	71.02319940507076	9.076839025708718	7.824662220395087	6.083993972998677e-17	3.476567984570673e-16	1.0	PASS_IBD_deLange2017	True
classical monocyte	63.18448363205282	9.554435746216967	6.613104667857586	3.2900054198083346e-13	1.7945484108045465e-12	0.99009900990099	PASS_IBD_deLange2017	True
lymphocyte	25.470327377319336	4.041150142003615	6.302742160599623	1.552860320667385e-10	8.101879933916793e-10	0.0	PASS_IBD_deLange2017	True
myeloid dendritic cell	29.32625435091965	5.205331205361973	5.63388825685307	4.4037220471399176e-10	2.201861023569959e-09	0.967828418230563	PASS_IBD_deLange2017	True
granulocyte	42.37651692414623	8.07144239273176	5.250178947235725	1.2894703072468555e-09	6.189457474784905e-09	0.9855023600809172	PASS_IBD_deLange2017	True
neutrophil	40.33492357861904	7.839009164163833	5.14541094849217	2.242943888532665e-09	9.968639504589622e-09	0.9673202614379084	PASS_IBD_deLange2017	True
immature B cell	48.61291412801005	9.3208127719805	5.215523079075936	2.1717427730237194e-09	9.968639504589622e-09	0.9643463497453312	PASS_IBD_deLange2017	True
epithelial cell	12.941551513749395	2.173279450417413	5.954849253860916	4.0759611914587435e-09	1.7468405106251758e-08	0.107981220657277	PASS_IBD_deLange2017	True
professional antigen presenting cell	21.013369610895992	3.738319752140777	5.621073370960986	8.230176045635682e-09	3.4055900878492484e-08	0.3153846153846154	PASS_IBD_deLange2017	True
monocyte	25.41785504198599	5.360472935931089	4.741718752390461	1.9872902578305052e-08	7.94916103132202e-08	0.8930523028883685	PASS_IBD_deLange2017	True
epithelial cell of proximal tubule	17.179567593811885	3.662640740126216	4.690486676894188	1.947286362823745e-07	7.537882694801592e-07	0.0305343511450381	PASS_IBD_deLange2017	True
megakaryocyte-erythroid progenitor cell	13.254050250189325	2.82796091060771	4.686786935587845	6.784370820309313e-07	2.5441390576159925e-06	0.1375	PASS_IBD_deLange2017	True
thymocyte	29.17313681703825	6.704964384177356	4.350975657064218	7.533045606078094e-07	2.739289311301125e-06	0.9316923076923076	PASS_IBD_deLange2017	True
lung macrophage	32.576812903848065	6.988642712430668	4.661393384140791	7.966908488364561e-07	2.811850054716904e-06	1.0	PASS_IBD_deLange2017	True
atrial myocyte	19.898941493313718	5.328724815230977	3.734278309218935	0.0002338091350835	0.0008016313202866	0.1066997518610421	PASS_IBD_deLange2017	True
plasmacytoid dendritic cell	20.61627530499968	6.420306609831341	3.211104478005804	0.0006141504829884	0.0020471682766282	1.0	PASS_IBD_deLange2017	True
plasma cell	15.530700313421594	5.052084276226757	3.0741174264458206	0.0007092570080984	0.0023002929992383	1.0	PASS_IBD_deLange2017	True
microglial cell	13.162305015421644	4.72821241504629	2.7837803931008	0.00141566797516	0.0044705304478738	0.956285800422068	PASS_IBD_deLange2017	True
granulocytopoietic cell	14.878733891649397	5.256491273555835	2.8305447716618097	0.0015792722505286	0.0048592992323958	0.9461697722567288	PASS_IBD_deLange2017	True
precursor B cell	20.30506833669444	8.778397702891244	2.3130722739990217	0.0079545057331697	0.0238635171995092	0.7827102803738317	PASS_IBD_deLange2017	True
hematopoietic stem cell	8.939944668145714	4.422484497264815	2.021475637432946	0.0273365653840659	0.0800094596606809	0.4010889292196007	PASS_IBD_deLange2017	True
enterocyte of epithelium of large intestine	7.498515597005228	3.9025880028648894	1.9214212700650355	0.0425008325417957	0.1214309501194164	0.0	PASS_IBD_deLange2017	False
basophil	3.5176066308329474	2.0328651280347745	1.7303689174074783	0.0474007185330395	0.1322810749759243	0.0	PASS_IBD_deLange2017	False
granulocyte monocyte progenitor cell	6.599657666480859	3.6755420643199552	1.7955603693252575	0.0575797092018878	0.1570355705506032	0.0	PASS_IBD_deLange2017	False
large intestine goblet cell	6.144728620146328	3.714071588552605	1.654445390628823	0.0743157531231818	0.1981753416618182	0.0	PASS_IBD_deLange2017	False
lymphoid progenitor cell	7.308769226074219	5.016886614839262	1.45683364747688	0.0778433657608693	0.2030696498109635	0.0	PASS_IBD_deLange2017	False
secretory cell	4.864462043007561	3.3338745959358813	1.459101685749525	0.0846462594258375	0.2161181091723513	0.0	PASS_IBD_deLange2017	False
intestinal crypt stem cell	5.635753206585266	4.211503367815356	1.3381808618875006	0.119836312370935	0.2995907809273375	0.0	PASS_IBD_deLange2017	False
pulmonary interstitial fibroblast	5.456466363473775	4.463160133404236	1.2225567087847022	0.1492286096231338	0.3654578194852257	0.0	PASS_IBD_deLange2017	False
Kupffer cell	4.021734637415891	4.11122034228706	0.978233785246016	0.189077209519031	0.4537853028456745	0.0	PASS_IBD_deLange2017	False
early pro-B cell	4.264221111898732	4.299261104090533	0.991849764100519	0.1968980013035778	0.4632894148319479	0.0	PASS_IBD_deLange2017	False
kidney interstitial fibroblast	6.829142939772302	8.143767749011953	0.8385729001911739	0.2095073397281197	0.4834784762956609	0.0	PASS_IBD_deLange2017	False
skeletal muscle satellite cell	6.526884532416458	7.0050489940377885	0.9317400260828568	0.2592871740834399	0.587065299811562	0.0	PASS_IBD_deLange2017	False
endothelial cell	6.70785737585711	5.438800487855352	1.233333965979358	0.291622279059249	0.6480495090205532	0.0	PASS_IBD_deLange2017	False
epithelial cell of large intestine	6.699162129578693	5.869733038668206	1.1413061012223953	0.3046801282913767	0.6647566435448219	0.0	PASS_IBD_deLange2017	False
basal cell	3.521373674279228	5.518974760439738	0.6380485193591742	0.3462857789171993	0.74204095482257	0.0	PASS_IBD_deLange2017	False
late pro-B cell	2.0435149416075298	4.686347919787024	0.4360570270464254	0.4060572850666749	0.8548574422456313	0.0	PASS_IBD_deLange2017	False
smooth muscle cell of the pulmonary artery	2.657084100258488	7.17360735813809	0.3703972029141185	0.4593253015618977	0.9503282101280642	0.0	PASS_IBD_deLange2017	False
pericyte cell	0.8994786943214163	2.2073077693700367	0.4075003526029025	0.4897018104173686	0.9726443655707898	0.0	PASS_IBD_deLange2017	False
mucus secreting cell	0.7331969393663005	2.1656411410533014	0.338558833902507	0.4944275524984848	0.9726443655707898	0.0	PASS_IBD_deLange2017	False
vein endothelial cell	2.4095214681053285	8.470963742685436	0.2844447858941573	0.4833100160918495	0.9726443655707898	0.0	PASS_IBD_deLange2017	False
endothelial cell of lymphatic vessel	0.3540462927610392	3.3352817784724187	0.106151838518182	0.5093451241163118	0.9796317889879024	0.0	PASS_IBD_deLange2017	False
bladder cell	1.198444508576531	3.988628871947438	0.3004652844503413	0.5143066892186487	0.9796317889879024	0.0	PASS_IBD_deLange2017	False
stromal cell	2.442474718626356	4.799621602852971	0.5088890168288496	0.5250974084639657	0.9845576408699356	0.0	PASS_IBD_deLange2017	False
pancreatic acinar cell	-2.277341119146153	3.0553612394884366	-0.7453590396163603	0.909184923759309	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic PP cell	-6.949061941911857	2.696037099742717	-2.5775097614847384	0.9973644238514132	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic stellate cell	-5.180348179782641	3.290941009948111	-1.5741236819873354	0.9781761109297228	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic D cell	-7.469913914925369	2.114505127048413	-3.5327007815547096	0.99996382650381	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic B cell	-2.433246645869233	4.688096065896831	-0.519026617984577	0.7751911780979817	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
bladder urothelial cell	-0.3556463174075109	4.178318180807766	-0.0851170978412075	0.6510989617285472	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic A cell	-9.22646166250081	3.01448103354233	-3.060713124361162	0.9997402264718374	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
pancreatic ductal cell	-0.0267464108763608	2.696659677955481	-0.0099183486500006	0.5881882623393481	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
fibroblast of lung	-1.3541992880804443	6.336443425068093	-0.2137159913277205	0.6997679463258054	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
astrocyte	-8.84185080534024	3.949134207334391	-2.238933989358737	0.9968007542424644	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
basal cell of epidermis	1.727474958235769	3.831958140878353	0.4508073665543227	0.5999369666455102	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
oligodendrocyte precursor cell	-5.705323619854219	3.500673910794227	-1.629778655550298	0.9684755073646762	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
aortic endothelial cell	1.9445419337984915	6.5901889794128286	0.2950661870051176	0.7218734740133892	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
adventitial cell	1.083414843651893	4.860900158926479	0.2228835829228722	0.650300317357277	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
respiratory basal cell	-1.6124456735526953	3.7036667096178206	-0.4353646804571901	0.7828389150617459	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
Brush cell of epithelium proper of large intestine	-1.0154398651783982	4.995179438529934	-0.203283961602236	0.819120940698882	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
smooth muscle cell	-3.1246333981120293	3.364578404338707	-0.9286849710747528	0.9412092186906936	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
smooth muscle cell of trachea	1.3696602235319182	2.168234441975712	0.6316937859744877	0.7200824217571944	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
Bergmann glial cell	-5.394755482764145	2.461452875049161	-2.1916956190584798	0.9911671749301122	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
type I pneumocyte	-6.329132712719519	3.4509593952463278	-1.8340212062297383	0.9891544403142234	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
type II pneumocyte	-2.78110190554061	2.4469007776014577	-1.1365813975778571	0.9598575409019728	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
valve cell	-5.408841707906108	4.9854844972422185	-1.0849179675311549	0.931985192021237	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
basal epithelial cell of tracheobronchial tree	-0.9382337780466632	1.8989707246789804	-0.4940749037641277	0.9692317576683236	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
oligodendrocyte	-5.379884445857993	3.93891482686268	-1.3658290880442916	0.9596055973542724	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
neuron	-1.6178007600137636	3.018972866302253	-0.535877873587948	0.9670095745942152	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
bronchial smooth muscle cell	-1.675547904482393	7.22104715092908	-0.2320366934962905	0.7901962419322995	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
interneuron	-5.475398912958665	3.87366152619386	-1.4134944098584223	0.9782531549033966	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
fibroblast of cardiac tissue	-5.498579013921605	4.898118377109542	-1.122590062261093	0.98554859670752	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
keratinocyte	0.0529846343509506	3.403963830076961	0.0155655691411247	0.7165937111060301	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
keratinocyte stem cell	-1.1963306780499314	3.7062459622614736	-0.3227877184168197	0.7244785382949857	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
kidney collecting duct epithelial cell	-2.3040844122989874	3.833524292035865	-0.6010355580857322	0.7960525108316591	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
kidney collecting duct principal cell	-8.830282746950436	3.9850250373850016	-2.2158663155463945	0.999048993911205	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
kidney loop of Henle ascending limb epithelial cell	-3.3267008069883217	6.385703712937503	-0.5209607204681906	0.8363921989232466	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
fibroblast	2.219355529488172	4.605938349568253	0.4818465556961281	0.6258139133111358	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
fenestrated cell	-5.827695638715744	8.202083172899094	-0.7105140871981546	0.8918698323657404	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
luminal epithelial cell of mammary gland	0.2590704223423517	3.4890649571876997	0.0742521063726973	0.6523471231620425	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
lung neuroendocrine cell	-8.905712161663914	2.773560134452398	-3.2109317014762424	0.9997743419233288	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
epidermal cell	0.1228805260668548	4.382352392017095	0.0280398550994425	0.59702779946764	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
ependymal cell	-4.596427602358273	1.6795201126722568	-2.736750556112706	0.9993485929354788	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
brain pericyte	-1.8757716140968808	3.2615882563052567	-0.5751098749116066	0.9023284106374848	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
enteroendocrine cell	-1.6078483913224466	1.9176643011661825	-0.8384410088588872	0.8870547357154457	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
medium spiny neuron	-3.649271910062306	1.4387782611613833	-2.5363685347293266	0.9964955341503036	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
endothelial cell of coronary artery	-1.5604196837669346	8.669711107838882	-0.1799851995478894	0.8252522139467486	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
mesangial cell	-1.1497871995982882	4.184950817772841	-0.2747433003789003	0.943092790777934	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
mesenchymal stem cell	2.297355584181944	6.622240595906949	0.3469151491720015	0.6617991658657223	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
mesenchymal stem cell of adipose	-0.023695652698981	4.718550999564874	-0.0050218070549976	0.8178987612259799	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
endocardial cell	-0.9145599470442772	4.94463221735044	-0.1849601561538059	0.6689354796931459	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
club cell of bronchiole	-4.439337741547357	2.514920363405812	-1.7652001256753185	0.9953030321862316	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
ciliated columnar cell of tracheobronchial tree	-2.1004207134246826	0.8248933318573077	-2.5462937234508027	0.9942401055265938	0.9999981516497144	0.0	PASS_IBD_deLange2017	False
