Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Hair pigmentation	Basal cell of epidermis	0.9928808732795444	True	True	True
Hair pigmentation	Keratinocyte	0.994238683127572	True	True	True
Hair pigmentation	Bladder urothelial cell	0.9647887323943662	True	True	False
Hair pigmentation	Bulge keratinocyte	0.988863287250384	True	True	True
Hair pigmentation	Epidermal cell	0.9817073170731708	True	True	False
Hair pigmentation	Keratinocyte stem cell	1.0	True	True	False
Hair pigmentation	Basal cell	0.9962599345488546	True	True	False
Hair pigmentation	Immature B cell	0.8692699490662139	True	True	False
Hair pigmentation	Epithelial cell	0.272300469483568	True	False	False
Hair pigmentation	Luminal epithelial cell of mammary gland	0.8020833333333334	True	True	False
Hair pigmentation	DN4 thymocyte	0.4026195899772209	True	False	False
Hair pigmentation	Endothelial cell	0.3547077922077922	True	False	False
Hair pigmentation	Intestinal crypt stem cell	0.5699810006333123	True	True	False
Hair pigmentation	Mature alpha-beta T cell	0.0	False	False	False
Hair pigmentation	Basal epithelial cell of tracheobronchial tree	0.0	False	False	False
Hair pigmentation	Respiratory basal cell	0.0	False	True	False
Hair pigmentation	Intermediate monocyte	0.0	False	False	False
Hair pigmentation	Neuron	0.0	False	False	False
Hair pigmentation	Hematopoietic stem cell	0.0	False	False	False
Hair pigmentation	CD4-positive, alpha-beta T cell	0.0	False	False	False
Hair pigmentation	Valve cell	0.0	False	True	False
Hair pigmentation	T cell	0.0	False	False	False
Hair pigmentation	Skeletal muscle satellite cell	0.0	False	False	False
Hair pigmentation	Epithelial cell of thymus	0.0	False	False	False
Hair pigmentation	Capillary endothelial cells	0.0	False	False	False
Hair pigmentation	Macrophage	0.0	False	False	False
Hair pigmentation	B cell	0.0	False	False	False
Hair pigmentation	CD8-positive, alpha-beta T cell	0.0	False	False	False
Hair pigmentation	Non-classical monocyte	0.0	False	True	False
Hair pigmentation	Stromal cell	0.0	False	False	False
Hair pigmentation	Smooth muscle cell of the pulmonary artery	0.0	False	False	False
Hair pigmentation	Mesenchymal stem cell of adipose	0.0	False	False	False
Hair pigmentation	Epithelial cell of large intestine	0.0	False	False	False
Hair pigmentation	Club cell of bronchiole	0.0	False	False	False
Hair pigmentation	Naive B cell	0.0	False	False	False
Hair pigmentation	NK cell	0.0	False	False	False
Hair pigmentation	Brush cell of epithelium proper of large intestine	0.0	False	False	False
Hair pigmentation	Regulatory T cell	0.0	False	False	False
Hair pigmentation	Plasmacytoid dendritic cell	0.0	False	False	False
Hair pigmentation	Oligodendrocyte precursor cell	0.0	False	False	False
Hair pigmentation	Classical monocyte	0.0	False	False	False
Hair pigmentation	Vein endothelial cell	0.0	False	False	False
Hair pigmentation	Smooth muscle cell of trachea	0.0	False	False	False
Hair pigmentation	Fenestrated cell	0.0	False	False	False
Hair pigmentation	Neuroepithelial cell	0.0	False	False	False
Hair pigmentation	Myeloid leukocyte	0.0	False	False	False
Hair pigmentation	Promonocyte	0.0	False	False	False
Hair pigmentation	Chondrocyte	0.0	False	False	False
Hair pigmentation	Lymphoid progenitor cell	0.0	False	False	False
Hair pigmentation	Precursor B cell	0.0	False	False	False
Hair pigmentation	Enterocyte of epithelium of large intestine	0.0	False	False	False
Hair pigmentation	Kidney interstitial fibroblast	0.0	False	False	False
Hair pigmentation	Leukocyte	0.0	False	False	False
Hair pigmentation	Myeloid cell	0.0	False	False	False
Hair pigmentation	Oligodendrocyte	0.0	False	False	False
Hair pigmentation	Proerythroblast	0.0	False	False	False
Hair pigmentation	Smooth muscle cell	0.0	False	False	False
Hair pigmentation	Granulocyte monocyte progenitor cell	0.0	False	False	False
Hair pigmentation	Fibrocyte	0.0	False	False	False
Hair pigmentation	Late pro-B cell	0.0	False	False	False
Hair pigmentation	Kidney collecting duct principal cell	0.0	False	False	False
Hair pigmentation	Basophil	0.0	False	False	False
Hair pigmentation	Mature NK T cell	0.0	False	False	False
Hair pigmentation	Secretory cell	0.0	False	False	False
Hair pigmentation	Pancreatic stellate cell	0.0	False	False	False
Hair pigmentation	Pericyte cell	0.0	False	True	False
Hair pigmentation	Endothelial cell of coronary artery	0.0	False	False	False
Hair pigmentation	Fibroblast	0.0	False	False	False
Hair pigmentation	Pancreatic ductal cell	0.0	False	False	False
Hair pigmentation	Thymocyte	0.0	False	False	False
Hair pigmentation	Type II pneumocyte	0.0	False	False	False
Hair pigmentation	Brain pericyte	0.0	False	False	False
Hair pigmentation	Mucus secreting cell	0.0	False	False	False
Hair pigmentation	Pulmonary interstitial fibroblast	0.0	False	False	False
Hair pigmentation	Aortic endothelial cell	0.0	False	False	False
Hair pigmentation	Megakaryocyte-erythroid progenitor cell	0.0	False	False	False
Hair pigmentation	Dendritic cell	0.0	False	False	False
Hair pigmentation	Early pro-B cell	0.0	False	False	False
Hair pigmentation	Fibroblast of cardiac tissue	0.0	False	False	False
Hair pigmentation	Kidney collecting duct epithelial cell	0.0	False	False	False
Hair pigmentation	Type I pneumocyte	0.0	False	True	False
Hair pigmentation	Endothelial cell of lymphatic vessel	0.0	False	False	False
Hair pigmentation	Adventitial cell	0.0	False	False	False
Hair pigmentation	Bladder cell	0.0	False	False	False
Hair pigmentation	Granulocytopoietic cell	0.0	False	False	False
Hair pigmentation	Large intestine goblet cell	0.0	False	False	False
Hair pigmentation	Microglial cell	0.0	False	False	False
Hair pigmentation	Pancreatic acinar cell	0.0	False	False	False
Hair pigmentation	Plasma cell	0.0	False	False	False
Hair pigmentation	Granulocyte	0.0	False	False	False
Hair pigmentation	Myeloid dendritic cell	0.0	False	False	False
Hair pigmentation	Professional antigen presenting cell	0.0	False	False	False
Hair pigmentation	Atrial myocyte	0.0	False	False	False
Hair pigmentation	Astrocyte	0.0	False	False	False
Hair pigmentation	Kupffer cell	0.0	False	False	False
Hair pigmentation	Ciliated columnar cell of tracheobronchial tree	0.0	False	False	False
Hair pigmentation	Bergmann glial cell	0.0	False	False	False
Hair pigmentation	Endocardial cell	0.0	False	False	False
Hair pigmentation	Pancreatic D cell	0.0	False	False	False
Hair pigmentation	Interneuron	0.0	False	False	False
Hair pigmentation	Fibroblast of lung	0.0	False	False	False
Hair pigmentation	Kidney loop of Henle ascending limb epithelial cell	0.0	False	False	False
Hair pigmentation	Lung macrophage	0.0	False	False	False
Hair pigmentation	Lung neuroendocrine cell	0.0	False	False	False
Hair pigmentation	Lymphocyte	0.0	False	False	False
Hair pigmentation	Epithelial cell of proximal tubule	0.0	False	False	False
