trait	trait_full_name	trait_short_name	category	representative
neutrophil_count	Neutrophil count	Neutrophil count	Blood trait	Yes
UKB_460K.blood_EOSINOPHIL_COUNT	Eosinophil count	Eosinophil count	Blood trait	No
UKB_460K.blood_LYMPHOCYTE_COUNT	Lymphocyte count	Lymphocyte count	Blood trait	Yes
UKB_460K.blood_MEAN_CORPUSCULAR_HEMOGLOBIN	Mean corpuscular hemoglobin	Mean corpuscular hemoglobin	Blood trait	No
UKB_460K.blood_MONOCYTE_COUNT	Monocyte count	Monocyte count	Blood trait	No
UKB_460K.blood_PLATELET_COUNT	Platelet count	Platelet count	Blood trait	Yes
UKB_460K.blood_RBC_DISTRIB_WIDTH	Red blood cell distribution width	Red blood cell distribution width	Blood trait	No
UKB_460K.blood_RED_COUNT	Red blood cell count	Red blood cell count	Blood trait	Yes
UKB_460K.blood_WHITE_COUNT	White blood cell count	White blood cell count	Blood trait	No
PASS_UC_deLange2017	Ulcerative colitis	UC	Immune	Yes
PASS_CD_deLange2017	Crohn disease	Crohn disease	Immune	Yes
PASS_Celiac	Celiac disease	Celiac disease	Immune	Yes
PASS_IBD_deLange2017	Inflammatory bowel disease	IBD	Immune	No
PASS_Lupus	Systemic lupus erythematosus	SLE	Immune	Yes
PASS_Multiple_sclerosis	Multiple sclerosis	Multiple sclerosis	Immune	No
PASS_Primary_biliary_cirrhosis	Primary biliary cirrhosis	Primary biliary cirrhosis	Immune	Yes
PASS_Rheumatoid_Arthritis	Rheumatoid arthritis	RA	Immune	No
UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED	Eczema	Eczema	Immune	No
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP	Hypothyroidism	Hypothyroidism	Immune	No
vitiligo	Vitiligo	Vitiligo	Immune	No
PASS_FastingGlucose_Manning	Fasting glucose	Fasting glucose	Metabolic	Yes
PASS_Type_2_Diabetes	Type 2 diabetes	Type 2 diabetes	Metabolic	Yes
UKB_460K.biochemistry_AlanineAminotransferase	Alanine aminotransferase	Alanine aminotransferase	Metabolic	Yes
UKB_460K.biochemistry_AlkalinePhosphatase	Alkaline phosphatase	Alkaline phosphatase	Metabolic	Yes
UKB_460K.biochemistry_Cholesterol	Total cholesterol	Total cholesterol	Metabolic	Yes
UKB_460K.biochemistry_Glucose	Blood glucose	Blood glucose	Metabolic	No
UKB_460K.biochemistry_HbA1c	Hemoglobin A1c	Hemoglobin A1c	Metabolic	No
UKB_460K.biochemistry_HDLcholesterol	HDL cholesterol	HDL cholesterol	Metabolic	No
UKB_460K.biochemistry_LDLdirect	LDL cholesterol	LDL cholesterol	Metabolic	No
UKB_460K.biochemistry_SHBG	Sex hormone binding globulin	Sex hormone binding globulin	Metabolic	No
UKB_460K.biochemistry_Testosterone_Male	Testosterone male	Testosterone male	Metabolic	No
UKB_460K.biochemistry_TotalBilirubin	Total bilirubin	Total bilirubin	Metabolic	No
