cell_type	beta	se	z	p	q	sig_pct
Sensory_neuron	3.716570260533272	1.5796005895583214	2.352854439977436	0.0101152580739388	0.0767887480398582	0.8
Secretomotor_vasodilator_neuron	5.292865736814089	2.2212217507485064	2.382862375190816	0.0104711929145261	0.0767887480398582	0.5524475524475524
Inhibitory_motor_neuron	6.360080187475736	2.5241251196215977	2.51971668838239	0.0053101810640191	0.0767887480398582	0.6376146788990825
Enteroendocrine	8.106098233486016	3.7739040719873937	2.147934361568768	0.0672919924654471	0.2960847668479675	0.0
Excitatory_motor_neuron	4.16653074805786	2.503684349866145	1.664159760506797	0.0599559229100739	0.2960847668479675	0.0
Lymphatic	12.095297780333333	6.43181845460227	1.880540917892136	0.1362483150526768	0.4282089901655557	0.0
Myocyte	9.24553057606736	4.09862634111274	2.255763225675577	0.1256048734447278	0.4282089901655557	0.0
Interneuron	1.667539340038296	1.5279799920827857	1.091335847771984	0.2181045594312962	0.5997875384360645	0.0
Fibroblast	7.321740518696965	3.662671186435052	1.9990166045517608	0.2671532454687758	0.653041266701452	0.0
Neuron	5.672168105242383	3.216589386303333	1.76341068878584	0.4317619910878684	0.8126588770907807	0.0
B_cell	5.0828924542099605	7.590791381151057	0.6696129822288961	0.4653315885084235	0.8126588770907807	0.0
Tuft	3.641050488742373	4.756491147086556	0.7654908578927111	0.4802075182809158	0.8126588770907807	0.0
Vascular	5.845395639480292	5.021388449112186	1.1640994714347972	0.4146909981989793	0.8126588770907807	0.0
Macrophage	2.1463187747757786	3.838150932599716	0.559206454479371	0.6581504834193477	0.8517241550132735	0.0
Mesothelial	2.303798268726758	3.905731453477511	0.5898506582359998	0.641235872652935	0.8517241550132735	0.0
Cycling_TA	7.26188018326412	4.576223852146688	1.586871712986156	0.6112534574690875	0.8517241550132735	0.0
TA	11.076658367932051	2.6237251351350084	4.221729715358344	0.5801794801120352	0.8517241550132735	0.0
Goblet	2.276328549560067	5.460831067386389	0.4168465424896475	0.8518430813842828	0.937027389522711	0.0
Glia	0.3954529614357145	4.268397236886483	0.0926467101089615	0.837972858570966	0.937027389522711	0.0
Stem	9.618765417189753	3.3532977467902163	2.8684495513101558	0.8458622850140848	0.937027389522711	0.0
Colonocyte	3.1777927930173497	5.559790563390355	0.571566996415695	0.9160939871775426	0.9580580021352836	0.0
T_cell	-2.096554136302126	4.433526563449761	-0.4728863369368832	0.9580580021352836	0.9580580021352836	0.0
