source	target	weight
Neutrophil count	White blood cell count	0.9029824645193321
Neutrophil count	Total protein	0.7784082108171152
Eosinophil count	Lymphocyte count	0.8947099013479856
Eosinophil count	White blood cell count	0.7602464117234453
Eosinophil count	Hypothyroidism	0.8592182378454916
Lymphocyte count	Monocyte count	0.8320274790938657
Lymphocyte count	White blood cell count	0.8681571467140499
Lymphocyte count	Total protein	0.8464552506325687
Mean corpuscular hemoglobin	Red blood cell distribution width	0.9318822946470517
Mean corpuscular hemoglobin	Red blood cell count	0.8256618501853157
Monocyte count	Neutrophil count	0.8784576994747016
Monocyte count	White blood cell count	0.9568022377409684
Platelet count	Red blood cell count	0.8506105909639003
Platelet count	White blood cell count	0.8349711814307618
Platelet count	Total protein	0.8155750576051158
Red blood cell count	Red blood cell distribution width	0.8500458929825806
Red blood cell count	Total bilirubin	0.8722494231796664
Crohn disease	UC	0.892168565147675
Crohn disease	IBD	0.9661801504560193
Crohn disease	Multiple sclerosis	0.9009756390794554
Crohn disease	Eczema	0.9028009464994405
Celiac disease	UC	0.8345106444474278
Celiac disease	Multiple sclerosis	0.8547392724520743
Celiac disease	RA	0.8404399944025936
IBD	UC	0.930115391604838
IBD	Multiple sclerosis	0.8769508812799133
SLE	UC	0.8771834610698568
Primary biliary cirrhosis	UC	0.8716321420530881
Primary biliary cirrhosis	SLE	0.8876852911502884
Primary biliary cirrhosis	RA	0.8508176158183185
RA	SLE	0.8718364517867853
RA	Respiratory ENT	0.8777761073391235
Eczema	Multiple sclerosis	0.870725541249752
Eczema	Respiratory ENT	0.8901060033064103
Hypothyroidism	Lymphocyte count	0.8496637436834384
Hypothyroidism	IBD	0.8464095498405775
Fasting glucose	Type 2 diabetes	0.8718843316612833
Alanine aminotransferase	Alkaline phosphatase	0.906282994021748
Alanine aminotransferase	Hemoglobin A1c	0.8976701907467545
Alanine aminotransferase	HDL cholesterol	0.894626368649625
Alanine aminotransferase	Sex hormone binding globulin	0.9346771837201009
Alanine aminotransferase	Triglycerides	0.8884778436118705
Alanine aminotransferase	Balding Type I	0.797857519444511
Alkaline phosphatase	Total cholesterol	0.9049759357641932
Alkaline phosphatase	LDL cholesterol	0.8891586608126946
Alkaline phosphatase	Total bilirubin	0.9022036801729154
Blood glucose	Fasting glucose	0.8783890392657684
Blood glucose	Testosterone male	0.8315172415596164
Hemoglobin A1c	Mean corpuscular hemoglobin	0.7608913975189618
Hemoglobin A1c	Red blood cell distribution width	0.8199870475988805
Hemoglobin A1c	Red blood cell count	0.8873323430454674
Hemoglobin A1c	Sex hormone binding globulin	0.8899636636892843
Hemoglobin A1c	Total bilirubin	0.9243785891688001
HDL cholesterol	Sex hormone binding globulin	0.8767265658936164
HDL cholesterol	Triglycerides	0.9363760596179582
LDL cholesterol	Total cholesterol	0.9852137006249638
LDL cholesterol	Total bilirubin	0.8762860881211016
Sex hormone binding globulin	Testosterone male	0.8964304633505411
Sex hormone binding globulin	Triglycerides	0.8954564857688283
Testosterone male	Vitamin D	0.8494619770266139
Total bilirubin	Total cholesterol	0.9040003965099073
Total protein	White blood cell count	0.8662231765037647
Basal metabolic rate	Schizophrenia	0.8216858795429719
Basal metabolic rate	Lung FVC	0.8245956515297226
BMI	Basal metabolic rate	0.8765468569067687
BMI	Neuroticism	0.9050438480697054
BMI	Morning person	0.9015018875046229
BMI	Smoking status	0.9133642026604105
ASD	Fasting glucose	0.8833640703771422
ASD	Blood glucose	0.8332793657202066
ASD	Insomnia	0.9003450232514274
ASD	Drinks per week	0.8901806280692524
ASD	Heart failure	0.865698642588608
ADHD	Type 2 diabetes	0.8679999019762735
ADHD	ASD	0.897766545609964
ADHD	General risk tolerance	0.8911832994917974
ADHD	Sleep duration	0.8899739503614457
ADHD	Number of children ever born	0.8880144921724451
Alzheimer disease	Vitiligo	0.8121095719899393
Alzheimer disease	IPF	0.7974666709556651
Alzheimer disease	Melanoma	0.8384276149095107
Bipolar disorder	Schizophrenia	0.8926667301464618
Bipolar disorder	Sleep duration	0.921728328131794
Bipolar disorder	Verbal numeric reasoning	0.9126481936580242
Bipolar disorder	Smoking status	0.9088504764571564
General risk tolerance	Insomnia	0.8998907911498973
General risk tolerance	Number of children ever born	0.8914095690626856
Insomnia	Sleep duration	0.9049792428001313
Insomnia	Number of children ever born	0.9027068805381415
Intelligence	Schizophrenia	0.8993843766034398
Intelligence	Verbal numeric reasoning	0.9784361300638863
Intelligence	Years of education	0.9442038558788521
MDD	Subjective well being	0.7254634016424389
MDD	Worry	0.92566129809364
MDD	Neuroticism	0.9346786051547293
MDD	Morning person	0.9136181918856049
Reaction time	Worry	0.9074210092000652
Reaction time	Smoking status	0.9256644628513482
Schizophrenia	Smoking status	0.9067990394013079
Sleep duration	Smoking status	0.9164007346230868
Subjective well being	Worry	0.7248383358450501
Verbal numeric reasoning	Years of education	0.9089631191109898
Neuroticism	Reaction time	0.9046473586772397
Neuroticism	Subjective well being	0.7218494084599486
Neuroticism	Worry	0.9716503152346442
Neuroticism	Smoking status	0.9215407999247766
Morning person	Worry	0.9097636847611076
Morning person	Neuroticism	0.9352743160643189
Drinks per week	General risk tolerance	0.8871966676880734
Drinks per week	Insomnia	0.8936167860744536
College education	Intelligence	0.9449677631511405
College education	Verbal numeric reasoning	0.9234471662934881
College education	Years of education	0.978520646100374
Smoking status	Verbal numeric reasoning	0.9128608114899833
Smoking status	Worry	0.9283797559683263
Coronary atherosclerosis	HDL cholesterol	0.8445049297456146
Coronary atherosclerosis	Triglycerides	0.8429581013159254
Coronary atherosclerosis	Hypertension	0.8551383616152552
Heart failure	IPF	0.8546169491457173
Heart failure	Melanoma	0.8741078384150651
Atrial fibrillation	Type 2 diabetes	0.8405313400497211
Atrial fibrillation	Coronary atherosclerosis	0.8379179249984795
Atrial fibrillation	Heart failure	0.8508488396951535
Coronary artery disease	Fasting glucose	0.8671285626211267
Coronary artery disease	Vitamin D	0.8285958353316245
Coronary artery disease	Heart failure	0.8549186232846548
Coronary artery disease	Prostate cancer	0.8672814818513769
Diastolic blood pressure	WHRadjBMI	0.8418798266668257
Diastolic blood pressure	Systolic blood pressure	0.9681678366779874
Diastolic blood pressure	Hypertension	0.9129704510772861
Systolic blood pressure	WHRadjBMI	0.8785242476108285
Hypertension	Systolic blood pressure	0.8914992039716596
IPF	Type 2 diabetes	0.8560078011471455
IPF	Melanoma	0.8938112276337316
Asthma	RA	0.8734358066662994
Asthma	Eczema	0.907622664159239
Asthma	Respiratory ENT	0.9900408184447628
FEV1 FVC ratio	WHRadjBMI	0.8925673906313489
FEV1 FVC ratio	Lung FVC	0.8983796078908751
FEV1 FVC ratio	Heel T score	0.9107585079894048
FEV1 FVC ratio	Height	0.8338250310882387
Lung FVC	WHRadjBMI	0.8689061964872716
Lung FVC	Systolic blood pressure	0.859360084574002
Hair color	Vitamin D	0.773060850664385
Hair color	Hair pigmentation	0.9821659310695329
Melanoma	Vitiligo	0.8912292251127627
Melanoma	Prostate cancer	0.8670844857043944
Prostate cancer	Vitiligo	0.8654739021439457
Heel T score	WHRadjBMI	0.9126916667253236
Heel T score	Height	0.8755155828623188
Balding Type I	Coronary atherosclerosis	0.8165600589948028
Balding Type I	Hair color	0.791470383066377
Balding Type I	Hair pigmentation	0.8151290634549968
Height	WHRadjBMI	0.8255366758040573
Breast cancer	Vitiligo	0.8673987882467763
Breast cancer	Fasting glucose	0.869257306476397
Breast cancer	Type 2 diabetes	0.8760590285022062
Breast cancer	Testosterone male	0.8598612404249395
Breast cancer	Vitamin D	0.8308094421261645
Breast cancer	Coronary artery disease	0.8658121400381044
Breast cancer	Prostate cancer	0.8913051437263427
Hair pigmentation	Vitamin D	0.773410841079983
Age at menarche	Bipolar disorder	0.9034602407605922
Age at menarche	General risk tolerance	0.9081775625881585
Age at menarche	Smoking status	0.9082607320757815
Age at menopause	Hemoglobin A1c	0.8283947327961001
Age at menopause	Sex hormone binding globulin	0.8499664770878558
Age at menopause	Testosterone male	0.8625932421714697
